2025-12-16 14:03:53,155 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:05:02,061 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,545 | INFO | === DQN BACKTEST START (Segment-aware, hourly, Behavioral ROI) ===
2025-12-16 14:07:51,656 | INFO | Backtest data aligned | lookback=60 | steps=1461
2025-12-16 14:07:51,874 | INFO | STEP 0 | Price=0.959719 | Next=0.959678 | logret=-0.000043 | eff=-0.000043 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 1 | Price=0.959678 | Next=0.957143 | logret=-0.002644 | eff=-0.002644 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 2 | Price=0.957143 | Next=0.959366 | logret=0.002320 | eff=0.002320 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 3 | Price=0.959366 | Next=0.953632 | logret=-0.005994 | eff=-0.005994 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 4 | Price=0.953632 | Next=0.954308 | logret=0.000708 | eff=0.000708 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 5 | Price=0.954308 | Next=0.960114 | logret=0.006066 | eff=0.006066 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 6 | Price=0.960114 | Next=0.959439 | logret=-0.000703 | eff=-0.000703 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 7 | Price=0.959439 | Next=0.961973 | logret=0.002638 | eff=0.002638 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 8 | Price=0.961973 | Next=0.958888 | logret=-0.003212 | eff=-0.003212 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 9 | Price=0.958888 | Next=0.953788 | logret=-0.005333 | eff=-0.005333 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,874 | INFO | STEP 10 | Price=0.953788 | Next=0.954505 | logret=0.000751 | eff=0.000751 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 11 | Price=0.954505 | Next=0.953248 | logret=-0.001318 | eff=-0.001318 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 12 | Price=0.953248 | Next=0.957434 | logret=0.004382 | eff=0.004382 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 13 | Price=0.957434 | Next=0.955513 | logret=-0.002009 | eff=-0.002009 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 14 | Price=0.955513 | Next=0.952438 | logret=-0.003223 | eff=-0.003223 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=-0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 15 | Price=0.952438 | Next=0.955575 | logret=0.003288 | eff=0.003288 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
2025-12-16 14:07:51,890 | INFO | STEP 16 | Price=0.955575 | Next=0.960696 | logret=0.005345 | eff=0.005345 | Seg=0->0 | boundary=0 | Action=0 | Pos=0 | PnL=0.000000 | Cost=0.000000 | ROI=0.000000 | Bal=100000.00
